Oscilloscope data. 
Time step = 10,00 uS
Voltage step = 31,25 mV
Zero level = 129

N 	Smpl.	Trig

0	181	0
1	190	0
2	193	0
3	188	0
4	177	0
5	160	0
6	140	0
7	119	0
8	99	0
9	83	0
10	72	0
11	67	0
12	69	0
13	77	0
14	92	0
15	111	0
16	131	0
17	149	0
18	165	0
19	177	0
20	183	0
21	183	0
22	177	0
23	167	0
24	152	0
25	136	0
26	119	0
27	105	0
28	96	0
29	89	0
30	88	0
31	91	0
32	97	0
33	108	0
34	119	0
35	131	0
36	143	0
37	151	0
38	157	0
39	159	0
40	158	0
41	155	0
42	147	0
43	140	0
44	132	0
45	123	0
46	117	0
47	112	0
48	109	0
49	108	0
50	110	0
51	113	0
52	119	0
53	124	0
54	131	0
55	137	0
56	143	0
57	147	0
58	149	0
59	149	0
60	147	0
61	143	0
62	137	0
63	131	0
64	123	0
65	115	0
66	109	0
67	105	0
68	104	0
69	104	0
70	108	0
71	113	0
72	123	0
73	133	0
74	144	0
75	154	0
76	161	0
77	167	0
78	167	0
79	163	0
80	155	0
81	144	0
82	129	0
83	115	0
84	101	0
85	89	0
86	81	0
87	79	0
88	81	0
89	91	0
90	105	0
91	121	0
92	140	0
93	158	0
94	173	0
95	185	0
96	189	0
97	188	0
98	179	0
99	165	0
100	148	0
101	127	0
102	106	0
103	87	0
104	75	0
105	67	0
106	65	0
107	73	0
108	85	0
109	103	0
110	123	0
111	144	0
112	162	0
113	177	0
114	187	0
115	189	0
116	185	0
117	176	0
118	161	0
119	143	0
120	124	0
121	107	0
122	93	0
123	84	0
124	80	0
125	81	0
126	87	0
127	99	0
128	112	0
129	127	0
130	141	0
131	153	0
132	161	0
133	165	0
134	165	0
135	163	0
136	155	0
137	147	0
138	136	0
139	125	0
140	116	0
141	109	0
142	105	0
143	104	0
144	105	0
145	109	0
146	115	0
147	121	0
148	129	0
149	136	0
150	141	0
151	147	0
152	149	0
153	149	0
154	147	0
155	143	0
156	139	0
157	133	0
158	127	0
159	119	0
160	115	0
161	111	0
162	108	0
163	108	0
164	111	0
165	115	0
166	123	0
167	129	0
168	139	0
169	147	0
170	153	0
171	159	0
172	161	0
173	157	0
174	153	0
175	144	0
176	133	0
177	121	0
178	109	0
179	99	0
180	91	0
181	87	0
182	87	0
183	93	0
184	104	0
185	117	0
186	133	0
187	149	0
188	164	0
189	176	0
190	183	0
191	185	0
192	179	0
193	168	0
194	152	0
195	133	0
196	113	0
197	95	0
198	80	0
199	69	0
200	67	0
201	70	0
202	80	0
203	97	0
204	116	0
205	137	0
206	157	0
207	175	0
208	187	0
209	192	0
210	192	0
211	183	0
212	169	0
213	151	0
214	131	0
215	111	0
216	93	0
217	81	0
218	75	0
219	73	0
220	79	0
221	89	0
222	104	0
223	121	0
224	137	0
225	153	0
226	164	0
227	172	0
228	175	0
229	171	0
230	164	0
231	153	0
232	141	0
233	129	0
234	116	0
235	108	0
236	101	0
237	97	0
238	97	0
239	103	0
240	108	0
241	117	0
242	127	0
243	135	0
244	141	0
245	147	0
246	151	0
247	151	0
248	150	0
249	147	0
250	141	0
251	135	0
252	128	0
253	122	0
254	117	0
255	112	0
256	111	0
257	111	0
258	112	0
259	116	0
