Oscilloscope data. 
Time step = 5,000 uS
Voltage step = 31,25 mV
Zero level = 126

N 	Smpl.	Trig

0	131	0
1	167	0
2	168	0
3	141	0
4	112	0
5	101	0
6	110	0
7	126	0
8	136	0
9	139	0
10	133	0
11	121	0
12	109	0
13	105	0
14	122	0
15	150	0
16	169	0
17	156	0
18	114	0
19	74	0
20	69	0
21	110	0
22	163	0
23	189	0
24	168	0
25	121	0
26	85	0
27	83	0
28	112	0
29	141	0
30	151	0
31	142	0
32	127	0
33	116	0
34	114	0
35	120	0
36	132	0
37	145	0
38	147	0
39	130	0
40	102	0
41	84	0
42	96	0
43	138	0
44	179	0
45	182	0
46	143	0
47	89	0
48	65	0
49	84	0
50	132	0
51	169	0
52	168	0
53	141	0
54	112	0
55	102	0
56	110	0
57	126	0
58	136	0
59	139	0
60	133	0
61	121	0
62	108	0
63	105	0
64	122	0
65	150	0
66	169	0
67	155	0
68	114	0
69	73	0
70	69	0
71	109	0
72	163	0
73	189	0
74	169	0
75	121	0
76	85	0
77	83	0
78	112	0
79	141	0
80	151	0
81	142	0
82	126	0
83	117	0
84	113	0
85	119	0
86	132	0
87	145	0
88	147	0
89	130	0
90	102	0
91	84	0
92	96	0
93	138	0
94	179	0
95	183	0
96	143	0
97	89	0
98	64	0
99	85	0
100	132	0
101	169	0
102	169	0
103	141	0
104	112	0
105	101	0
106	110	0
107	126	0
108	137	0
109	139	0
110	133	0
111	121	0
112	109	0
113	105	0
114	122	0
115	150	0
116	169	0
117	156	0
118	115	0
119	73	0
120	69	0
121	109	0
122	163	0
123	189	0
124	169	0
125	121	0
126	85	0
127	83	0
128	112	0
129	141	0
130	152	0
131	142	0
132	126	0
133	116	0
134	114	0
135	119	0
136	131	0
137	145	0
138	147	0
139	130	0
140	102	0
141	84	0
142	97	0
143	138	0
144	179	0
145	183	0
146	143	0
147	90	0
148	62	0
149	85	0
150	132	0
151	168	0
152	168	0
153	142	0
154	112	0
155	101	0
156	110	0
157	126	0
158	137	0
159	139	0
160	134	0
161	121	0
162	109	0
163	106	0
164	121	0
165	150	0
166	169	0
167	156	0
168	114	0
169	74	0
170	69	0
171	109	0
172	163	0
173	189	0
174	168	0
175	121	0
176	85	0
177	84	0
178	112	0
179	141	0
180	150	0
181	142	0
182	126	0
183	116	0
184	113	0
185	118	0
186	132	0
187	145	0
188	147	0
189	130	0
190	102	0
191	84	0
192	97	0
193	138	0
194	179	0
195	182	0
196	144	0
