Oscilloscope data. 
Time step = 100,0 nS
Voltage step = 31,25 mV
Zero level = 126

N 	Smpl.	Trig

0	66	0
1	69	0
2	73	0
3	79	0
4	86	0
5	93	0
6	101	0
7	109	0
8	118	0
9	127	0
10	135	0
11	144	0
12	152	0
13	160	0
14	168	0
15	174	0
16	179	0
17	184	0
18	187	0
19	190	0
20	191	0
21	190	0
22	190	0
23	188	0
24	183	0
25	178	0
26	173	0
27	166	0
28	158	0
29	150	0
30	142	0
31	133	0
32	124	0
33	115	0
34	107	0
35	99	0
36	90	0
37	83	0
38	78	0
39	73	0
40	68	0
41	65	0
42	62	0
43	62	0
44	62	0
45	64	0
46	67	0
47	71	0
48	76	0
49	82	0
50	89	0
51	97	0
52	104	0
53	114	0
54	123	0
55	130	0
56	140	0
57	148	0
58	157	0
59	165	0
60	171	0
61	176	0
62	182	0
63	187	0
64	190	0
65	190	0
66	190	0
67	190	0
68	188	0
69	184	0
70	181	0
71	175	0
72	168	0
73	162	0
74	153	0
75	146	0
76	136	0
77	128	0
78	120	0
79	110	0
80	102	0
81	94	0
82	86	0
83	81	0
84	74	0
85	70	0
86	66	0
87	63	0
88	62	0
89	62	0
90	62	0
91	65	0
92	69	0
93	74	0
94	80	0
95	86	0
96	93	0
97	101	0
98	110	0
99	118	0
100	127	0
101	136	0
102	145	0
103	152	0
104	161	0
105	169	0
106	174	0
107	180	0
108	185	0
109	188	0
110	190	0
111	192	0
112	191	0
113	190	0
114	187	0
115	182	0
116	178	0
117	172	0
118	165	0
119	158	0
120	149	0
121	141	0
122	132	0
123	123	0
124	115	0
125	106	0
126	97	0
127	90	0
128	83	0
129	77	0
130	72	0
131	68	0
132	65	0
133	63	0
134	62	0
135	62	0
136	64	0
137	67	0
138	71	0
139	77	0
140	83	0
141	90	0
142	98	0
143	106	0
144	115	0
145	123	0
146	133	0
147	141	0
148	149	0
149	158	0
150	165	0
151	171	0
152	178	0
153	182	0
154	187	0
155	190	0
156	190	0
157	191	0
158	190	0
159	188	0
160	184	0
161	180	0
162	174	0
163	168	0
164	161	0
165	153	0
166	145	0
167	136	0
168	127	0
169	118	0
170	110	0
171	102	0
172	94	0
173	86	0
174	80	0
175	73	0
176	69	0
177	66	0
178	62	0
179	62	0
180	62	0
181	63	0
182	66	0
183	70	0
184	74	0
185	80	0
186	86	0
187	94	0
188	102	0
189	110	0
190	119	0
191	128	0
192	137	0
193	146	0
194	154	0
195	162	0
196	169	0
197	175	0
198	181	0
199	184	0
200	188	0
201	190	0
202	191	0
203	190	0
204	189	0
205	186	0
206	182	0
207	177	0
208	171	0
209	165	0
210	157	0
211	149	0
212	140	0
213	131	0
214	122	0
215	113	0
216	105	0
217	97	0
218	89	0
219	82	0
220	76	0
221	71	0
222	67	0
223	65	0
224	62	0
225	62	0
226	62	0
227	65	0
228	68	0
229	72	0
230	78	0
231	84	0
232	91	0
233	99	0
234	107	0
235	115	0
236	125	0
237	133	0
238	142	0
239	150	0
240	158	0
241	166	0
242	172	0
243	178	0
244	182	0
245	187	0
246	190	0
247	191	0
248	192	0
249	190	0
250	187	0
251	184	0
252	180	0
253	174	0
254	168	0
255	160	0
256	152	0
